provider,provider_id,model_id,model_name,aa_slug,aa_name,aa_match,agentic,coding,intelligence,arena,swebench,agentic_norm,coding_norm,intelligence_norm,arena_norm,swebench_norm,hermes_score,data_coverage,rank
Groq,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,qwen3-8-27b,Qwen3.8 27B (xhigh),substring,46.8,68.1,41.4,,,100.0,100.0,100.0,,,100.0,80.0,1
OpenRouter,openrouter,minimax/minimax-m3:free,MiniMax: MiniMax M3 (free),minimax-m3,MiniMax-M3,substring,31.0,58.6,35.7,,,65.43,84.14,85.89,,,75.11,80.0,2
Groq,groq,qwen/qwen3.6-27b,qwen/qwen3.6-27b,qwen3-6-27b,Qwen3.6 27B (Reasoning),compact,20.1,53.7,29.0,,,41.58,75.96,69.31,,,57.52,80.0,3
Kilo Code,kilo,inclusionai/ling-3.0-flash-fin:free,inclusionAI: Ling 3.0 Flash Fin (free),ling-3-0-flash,Ling 3.0 Flash,substring,21.1,50.6,27.4,,,43.76,70.78,65.35,,,56.25,80.0,4
Cloudflare AI,cloudflare,@cf/google/gemma-4-26b-a4b-it,@cf/google/gemma-4-26b-a4b-it,gemma-4-26b-a4b,Gemma 4 26B A4B (Reasoning),substring,,39.3,19.2,,,,51.92,45.05,,,49.34,40.0,5
Groq,groq,openai/gpt-oss-120b,openai/gpt-oss-120b,gpt-oss-120b,gpt-oss-120b (high),exact,6.3,30.4,15.6,,,11.38,37.06,36.14,,,24.05,80.0,6
Cloudflare AI,cloudflare,@cf/openai/gpt-oss-120b,@cf/openai/gpt-oss-120b,gpt-oss-120b,gpt-oss-120b (high),substring,6.3,30.4,15.6,,,11.38,37.06,36.14,,,24.05,80.0,7
Kilo Code,kilo,cohere/north-mini-code:free,Cohere: North Mini Code (free),north-mini-code,North Mini Code,substring,1.1,36.5,13.5,,,0.0,47.25,30.94,,,20.57,80.0,8
Cloudflare AI,cloudflare,@cf/qwen/qwq-32b,@cf/qwen/qwq-32b,qwq-32b,QwQ 32B,substring,,,7.5,,,,,16.09,,,16.09,15.0,9
Groq,groq,openai/gpt-oss-20b,openai/gpt-oss-20b,gpt-oss-20b,gpt-oss-20b (high),exact,1.4,20.7,9.1,,,0.66,20.87,20.05,,,10.61,80.0,10
Cloudflare AI,cloudflare,@cf/openai/gpt-oss-20b,@cf/openai/gpt-oss-20b,gpt-oss-20b,gpt-oss-20b (high),substring,1.4,20.7,9.1,,,0.66,20.87,20.05,,,10.61,80.0,11
Cloudflare AI,cloudflare,@cf/meta/llama-4-scout-17b-16e-instruct,@cf/meta/llama-4-scout-17b-16e-instruct,llama-4-scout,Llama 4 Scout,substring,,8.2,4.6,,,,0.0,8.91,,,3.34,40.0,12
Cloudflare AI,cloudflare,@cf/qwen/qwen2.5-coder-32b-instruct,@cf/qwen/qwen2.5-coder-32b-instruct,qwen2-5-coder-32b-instruct,Qwen2.5 Coder Instruct 32B,substring,,,1.6,,,,,1.49,,,1.49,15.0,13
Groq,groq,allam-2-7b,allam-2-7b,,,missing,,,,,,,,,,,0.0,0.0,14
Groq,groq,groq/compound-mini,groq/compound-mini,,,missing,,,,,,,,,,,0.0,0.0,15
NVIDIA NIM,nvidia,meta/llama-3.2-11b-vision-instruct,meta/llama-3.2-11b-vision-instruct,,,missing,,,,,,,,,,,0.0,0.0,16
NVIDIA NIM,nvidia,nvidia/ising-calibration-1.5-31b,nvidia/ising-calibration-1.5-31b,,,missing,,,,,,,,,,,0.0,0.0,17
NVIDIA NIM,nvidia,nvidia/llama-3.1-nemoguard-8b-content-safety,nvidia/llama-3.1-nemoguard-8b-content-safety,,,missing,,,,,,,,,,,0.0,0.0,18
NVIDIA NIM,nvidia,nvidia/llama-3.1-nemotron-safety-guard-8b-v3,nvidia/llama-3.1-nemotron-safety-guard-8b-v3,,,missing,,,,,,,,,,,0.0,0.0,19
NVIDIA NIM,nvidia,nvidia/nemotron-3.5-content-safety,nvidia/nemotron-3.5-content-safety,,,missing,,,,,,,,,,,0.0,0.0,20
